v129_rawvalue_11,v129_rawvalue_12,v129_rawvalue_13,v129_rawvalue_14,v129_rawvalue_15,v129_rawvalue_16,v129_rawvalue_17,fips,county
26,25.6,26,26,26,25.6,24,13175,Laurens County
23.2,24.8,24.8,24.8,24,25.6,25.6,13177,Lee County
25.6,24.8,25.6,26,26,26,26,13179,Liberty County
NA,NA,NA,NA,NA,NA,NA,13181,Lincoln County
24,NA,NA,NA,NA,NA,NA,13183,Long County
22.4,20.5,22.4,23.2,23.2,24,24.8,13185,Lowndes County
NA,NA,NA,NA,NA,NA,NA,13187,Lumpkin County
24,23.2,23.2,24,NA,NA,NA,13189,McDuffie County
NA,NA,NA,NA,NA,NA,NA,13191,McIntosh County
NA,NA,NA,NA,NA,NA,NA,13193,Macon County
26,NA,NA,NA,NA,NA,NA,13195,Madison County
NA,NA,NA,NA,NA,NA,NA,13197,Marion County
26,NA,NA,NA,NA,NA,NA,13199,Meriwether County
NA,NA,NA,NA,NA,NA,NA,13201,Miller County
26,24.8,24.8,NA,NA,NA,NA,13205,Mitchell County
26,NA,NA,NA,NA,NA,NA,13207,Monroe County
NA,NA,NA,NA,NA,NA,NA,13209,Montgomery County
NA,NA,NA,NA,NA,NA,NA,13211,Morgan County
26,26,26,NA,NA,NA,NA,13213,Murray County
20.5,20.5,22.4,22.4,23.2,24,24,13215,Muscogee County
26,26,26,26,26,26,26,13217,Newton County
NA,NA,NA,NA,NA,NA,NA,13219,Oconee County
NA,NA,NA,NA,NA,NA,NA,13221,Oglethorpe County
26,26,26,26,26,26,26,13223,Paulding County
20.5,20.5,22.4,24,24.8,26,NA,13225,Peach County
NA,25.6,NA,NA,NA,NA,NA,13227,Pickens County
25.6,NA,NA,NA,NA,NA,NA,13229,Pierce County
20.5,NA,NA,NA,NA,NA,NA,13231,Pike County
26,26,26,26,26,26,26,13233,Polk County
NA,NA,NA,NA,NA,NA,NA,13235,Pulaski County
26,22.4,NA,NA,NA,NA,NA,13237,Putnam County
NA,NA,NA,NA,NA,NA,NA,13239,Quitman County
NA,NA,NA,NA,NA,NA,NA,13241,Rabun County
NA,NA,NA,NA,NA,NA,NA,13243,Randolph County
22.4,23.2,23.2,23.2,24,24,23.2,13245,Richmond County
26,26,26,26,26,24,24,13247,Rockdale County
NA,NA,NA,NA,NA,NA,NA,13249,Schley County
20.5,19.5,20.5,NA,NA,NA,NA,13251,Screven County
NA,NA,NA,NA,NA,NA,NA,13253,Seminole County
24,23.2,24,24.8,25.6,25.6,25.6,13255,Spalding County
26,NA,NA,NA,NA,NA,NA,13257,Stephens County
NA,NA,NA,NA,NA,NA,NA,13259,Stewart County
26,24.8,26,NA,NA,NA,NA,13261,Sumter County
NA,NA,NA,NA,NA,NA,NA,13263,Talbot County
NA,NA,NA,NA,NA,NA,NA,13265,Taliaferro County
22.4,23.2,24,24.8,25.6,NA,NA,13267,Tattnall County
NA,NA,NA,NA,NA,NA,NA,13269,Taylor County
NA,NA,NA,NA,NA,NA,NA,13271,Telfair County
14.2,NA,NA,NA,NA,NA,NA,13273,Terrell County
24.8,26,25.6,26,26,26,25.6,13275,Thomas County
24,26,26,26,26,26,26,13277,Tift County
26,26,26,NA,26,25.6,25.6,13279,Toombs County
NA,NA,NA,NA,NA,NA,NA,13281,Towns County
NA,NA,NA,NA,NA,NA,NA,13283,Treutlen County
24.8,25.6,24.8,25.6,24.8,26,26,13285,Troup County
NA,NA,NA,NA,NA,NA,NA,13287,Turner County
NA,NA,NA,NA,NA,NA,NA,13289,Twiggs County
NA,NA,NA,NA,NA,NA,NA,13291,Union County
24.8,25.6,24.8,25.6,NA,NA,NA,13293,Upson County
26,25.6,26,26,26,26,26,13295,Walker County
26,26,26,26,26,26,26,13297,Walton County
24.8,24,23.2,24.8,24.8,25.6,26,13299,Ware County
NA,NA,NA,NA,NA,NA,NA,13301,Warren County
24,22.4,24,24,23.2,NA,NA,13303,Washington County
20.5,22.4,20.5,23.2,24,NA,NA,13305,Wayne County
NA,NA,NA,NA,NA,NA,NA,13307,Webster County
NA,NA,NA,NA,NA,NA,NA,13309,Wheeler County
NA,NA,NA,NA,NA,NA,NA,13311,White County
26,26,26,26,26,26,26,13313,Whitfield County
NA,NA,NA,NA,NA,NA,NA,13315,Wilcox County
NA,NA,NA,NA,NA,NA,NA,13317,Wilkes County
18.5,NA,NA,NA,NA,NA,NA,13319,Wilkinson County
25.6,NA,NA,NA,NA,NA,NA,13321,Worth County
26,26,26,26,26,26,26,15000,Hawaii
26,26,26,26,26,26,26,15001,Hawaii County
26,26,26,26,26,26,26,15003,Honolulu County
NA,NA,NA,NA,NA,NA,NA,15005,Kalawao County
26,26,26,26,26,26,26,15007,Kauai County
26,26,26,26,26,26,26,15009,Maui County
26,26,26,26,26,26,26,16000,Idaho
26,26,26,26,26,26,26,16001,Ada County
NA,NA,NA,NA,NA,NA,NA,16003,Adams County
26,26,26,26,26,26,26,16005,Bannock County
NA,NA,NA,NA,NA,NA,NA,16007,Bear Lake County
NA,NA,NA,NA,NA,NA,NA,16009,Benewah County
26,26,26,26,26,26,26,16011,Bingham County
NA,NA,NA,NA,NA,NA,NA,16013,Blaine County
NA,NA,NA,NA,NA,NA,NA,16015,Boise County
26,25.6,26,NA,NA,NA,NA,16017,Bonner County
26,26,26,26,26,26,26,16019,Bonneville County
NA,NA,NA,NA,NA,NA,NA,16021,Boundary County
NA,NA,NA,NA,NA,NA,NA,16023,Butte County
NA,NA,NA,NA,NA,NA,NA,16025,Camas County
26,26,26,26,26,26,26,16027,Canyon County
NA,NA,NA,NA,NA,NA,NA,16029,Caribou County
26,NA,NA,NA,NA,26,NA,16031,Cassia County
NA,NA,NA,NA,NA,NA,NA,16033,Clark County
NA,NA,NA,NA,NA,NA,NA,16035,Clearwater County
NA,NA,NA,NA,NA,NA,NA,16037,Custer County
26,26,26,26,26,NA,NA,16039,Elmore County
NA,NA,NA,NA,NA,NA,NA,16041,Franklin County
NA,NA,NA,NA,NA,NA,NA,16043,Fremont County
NA,NA,NA,NA,NA,NA,NA,16045,Gem County
26,NA,NA,NA,NA,NA,NA,16047,Gooding County
NA,NA,NA,NA,NA,NA,NA,16049,Idaho County
26,NA,26,26,26,NA,NA,16051,Jefferson County
24.8,NA,26,26,24.8,24,24.8,16053,Jerome County
26,26,26,26,26,26,26,16055,Kootenai County
26,NA,NA,NA,26,26,26,16057,Latah County
NA,NA,NA,NA,NA,NA,NA,16059,Lemhi County
NA,NA,NA,NA,NA,NA,NA,16061,Lewis County
NA,NA,NA,NA,NA,NA,NA,16063,Lincoln County
26,26,26,26,26,26,26,16065,Madison County
NA,NA,NA,NA,NA,NA,NA,16067,Minidoka County
25.6,24.8,24.8,25.6,26,NA,NA,16069,Nez Perce County
NA,NA,NA,NA,NA,NA,NA,16071,Oneida County
NA,NA,NA,NA,NA,NA,NA,16073,Owyhee County
26,25.6,NA,NA,NA,NA,NA,16075,Payette County
NA,NA,NA,NA,NA,NA,NA,16077,Power County
NA,NA,NA,NA,NA,NA,NA,16079,Shoshone County
NA,NA,NA,NA,NA,NA,NA,16081,Teton County
25.6,26,26,26,26,26,26,16083,Twin Falls County
NA,NA,NA,NA,NA,NA,NA,16085,Valley County
NA,NA,NA,NA,NA,NA,NA,16087,Washington County
26,26,26,26,26,26,26,17000,Illinois
26,26,26,26,26,26,26,17001,Adams County
NA,NA,NA,NA,NA,NA,NA,17003,Alexander County
NA,NA,NA,NA,NA,NA,NA,17005,Bond County
26,26,26,26,26,26,NA,17007,Boone County
NA,NA,NA,NA,NA,NA,NA,17009,Brown County
26,NA,NA,NA,NA,NA,NA,17011,Bureau County
NA,NA,NA,NA,NA,NA,NA,17013,Calhoun County
NA,NA,NA,NA,NA,NA,NA,17015,Carroll County
NA,NA,NA,NA,NA,NA,NA,17017,Cass County
26,25.6,25.6,26,26,26,26,17019,Champaign County
26,26,25.6,25.6,24,24,24.8,17021,Christian County
NA,NA,NA,NA,NA,NA,NA,17023,Clark County
NA,NA,NA,NA,NA,NA,NA,17025,Clay County
26,NA,NA,NA,NA,NA,NA,17027,Clinton County
26,26,26,25.6,26,26,26,17029,Coles County
25.6,26,26,26,26,26,26,17031,Cook County
22.4,NA,NA,20.5,18.5,NA,NA,17033,Crawford County
17.5,NA,NA,NA,NA,NA,NA,17035,Cumberland County
26,26,26,26,26,26,26,17037,DeKalb County
NA,NA,NA,NA,NA,NA,NA,17039,De Witt County
NA,NA,NA,NA,NA,NA,NA,17041,Douglas County
26,26,26,26,26,26,26,17043,DuPage County
NA,NA,NA,NA,NA,NA,NA,17045,Edgar County
NA,NA,NA,NA,NA,NA,NA,17047,Edwards County
25.6,26,26,26,26,25.6,26,17049,Effingham County
NA,NA,NA,NA,NA,NA,NA,17051,Fayette County
NA,NA,NA,NA,NA,NA,NA,17053,Ford County
26,26,26,25.6,24.8,25.6,26,17055,Franklin County
26,NA,NA,25.6,26,NA,NA,17057,Fulton County
NA,NA,NA,NA,NA,NA,NA,17059,Gallatin County
NA,NA,NA,NA,NA,NA,NA,17061,Greene County
26,26,26,26,26,NA,NA,17063,Grundy County
NA,NA,NA,NA,NA,NA,NA,17065,Hamilton County
NA,NA,NA,NA,NA,NA,NA,17067,Hancock County
NA,NA,NA,NA,NA,NA,NA,17069,Hardin County
NA,NA,NA,NA,NA,NA,NA,17071,Henderson County
26,NA,NA,NA,26,26,NA,17073,Henry County
26,NA,NA,NA,NA,NA,NA,17075,Iroquois County
26,26,26,24.8,24.8,26,26,17077,Jackson County
NA,NA,NA,NA,NA,NA,NA,17079,Jasper County
26,NA,NA,26,26,26,26,17081,Jefferson County
26,NA,NA,NA,NA,NA,NA,17083,Jersey County
NA,NA,NA,NA,NA,NA,NA,17085,Jo Daviess County
NA,NA,NA,NA,NA,NA,NA,17087,Johnson County
26,26,26,26,26,26,26,17089,Kane County
25.6,25.6,25.6,25.6,25.6,25.6,24.8,17091,Kankakee County
26,26,26,26,26,26,26,17093,Kendall County
25.6,26,26,25.6,26,25.6,26,17095,Knox County
26,26,26,26,26,26,26,17097,Lake County
26,26,26,26,26,26,26,17099,LaSalle County
23.2,NA,NA,NA,NA,NA,NA,17101,Lawrence County
NA,NA,NA,NA,NA,NA,NA,17103,Lee County
24.8,24.8,24.8,24,24.8,25.6,26,17105,Livingston County
25.6,NA,NA,NA,24.8,NA,NA,17107,Logan County
26,NA,NA,NA,NA,NA,NA,17109,McDonough County
26,26,26,26,26,26,26,17111,McHenry County
26,25.6,26,26,26,26,26,17113,McLean County
23.2,24,23.2,24,24.8,25.6,25.6,17115,Macon County
26,26,26,26,25.6,25.6,24.8,17117,Macoupin County
26,26,26,26,26,26,26,17119,Madison County
26,NA,NA,NA,NA,26,26,17121,Marion County
NA,NA,NA,NA,NA,NA,NA,17123,Marshall County
NA,NA,NA,NA,NA,NA,NA,17125,Mason County
NA,NA,NA,NA,NA,NA,NA,17127,Massac County
NA,NA,NA,NA,NA,NA,NA,17129,Menard County
NA,NA,NA,NA,NA,NA,NA,17131,Mercer County
NA,NA,NA,NA,NA,NA,NA,17133,Monroe County
25.6,NA,NA,NA,NA,NA,NA,17135,Montgomery County
NA,NA,NA,NA,NA,NA,NA,17137,Morgan County
NA,NA,NA,NA,NA,NA,NA,17139,Moultrie County
26,26,26,26,26,26,26,17141,Ogle County
25.6,24.8,24.8,25.6,25.6,25.6,25.6,17143,Peoria County
NA,NA,NA,NA,NA,NA,NA,17145,Perry County
NA,NA,NA,NA,NA,NA,NA,17147,Piatt County
NA,NA,NA,NA,NA,NA,NA,17149,Pike County
NA,NA,NA,NA,NA,NA,NA,17151,Pope County
NA,NA,NA,NA,NA,NA,NA,17153,Pulaski County
NA,NA,NA,NA,NA,NA,NA,17155,Putnam County
26,NA,NA,NA,NA,NA,NA,17157,Randolph County
NA,NA,NA,NA,NA,NA,NA,17159,Richland County
26,26,26,26,26,26,26,17161,Rock Island County
25.6,25.6,26,26,26,26,25.6,17163,St. Clair County
24,24,24,23.2,24.8,NA,24.8,17165,Saline County
25.6,24.8,25.6,25.6,25.6,26,26,17167,Sangamon County
NA,NA,NA,NA,NA,NA,NA,17169,Schuyler County
NA,NA,NA,NA,NA,NA,NA,17171,Scott County
24,NA,NA,NA,NA,NA,NA,17173,Shelby County
NA,NA,NA,NA,NA,NA,NA,17175,Stark County
26,25.6,25.6,26,NA,NA,26,17177,Stephenson County
26,26,26,26,26,26,26,17179,Tazewell County
NA,NA,NA,NA,NA,NA,NA,17181,Union County
26,26,25.6,24.8,24.8,24.8,24,17183,Vermilion County
NA,NA,NA,NA,NA,NA,NA,17185,Wabash County
NA,NA,NA,NA,NA,NA,NA,17187,Warren County
NA,NA,NA,NA,NA,NA,NA,17189,Washington County
NA,NA,NA,NA,NA,NA,NA,17191,Wayne County
NA,NA,NA,NA,NA,NA,NA,17193,White County
25.6,26,25.6,26,26,NA,NA,17195,Whiteside County
26,26,26,26,26,26,26,17197,Will County
25.6,26,26,25.6,26,26,26,17199,Williamson County
26,25.6,26,26,26,26,26,17201,Winnebago County
26,26,NA,NA,NA,NA,NA,17203,Woodford County
26,26,26,26,26,26,26,18000,Indiana
22.4,25.6,24,24.8,24.8,25.6,26,18001,Adams County
25.6,25.6,25.6,26,26,26,26,18003,Allen County
26,26,26,25.6,25.6,24.8,24.8,18005,Bartholomew County
NA,NA,NA,NA,NA,NA,NA,18007,Benton County
NA,NA,NA,NA,NA,NA,NA,18009,Blackford County
26,26,26,26,26,26,26,18011,Boone County
NA,NA,NA,NA,NA,NA,NA,18013,Brown County
NA,NA,NA,NA,NA,NA,NA,18015,Carroll County
24,25.6,24,24.8,24.8,24.8,24.8,18017,Cass County
26,26,26,26,26,26,25.6,18019,Clark County
26,NA,NA,NA,NA,NA,NA,18021,Clay County
26,26,26,25.6,25.6,25.6,26,18023,Clinton County
NA,NA,NA,NA,NA,NA,NA,18025,Crawford County
26,26,26,26,26,25.6,26,18027,Daviess County
26,26,26,26,26,26,NA,18029,Dearborn County
NA,25.6,NA,NA,NA,NA,NA,18031,Decatur County
26,26,26,26,26,26,NA,18033,De Kalb County
26,24.8,25.6,25.6,25.6,26,25.6,18035,Delaware County
26,26,26,26,26,25.6,25.6,18037,Dubois County
26,26,26,26,26,26,26,18039,Elkhart County
NA,NA,NA,NA,NA,NA,NA,18041,Fayette County
26,26,26,26,26,26,26,18043,Floyd County
NA,NA,NA,NA,NA,NA,NA,18045,Fountain County
NA,NA,NA,NA,NA,NA,NA,18047,Franklin County
25.6,NA,NA,NA,NA,23.2,23.2,18049,Fulton County
NA,NA,NA,NA,26,26,25.6,18051,Gibson County
24.8,24.8,24.8,24.8,24.8,24.8,25.6,18053,Grant County
24.8,26,24.8,24.8,24.8,NA,NA,18055,Greene County
26,26,26,26,26,26,26,18057,Hamilton County
25.6,26,26,26,26,26,26,18059,Hancock County
26,NA,NA,NA,26,26,NA,18061,Harrison County
26,26,26,26,26,26,26,18063,Hendricks County
24,26,24,25.6,24.8,24.8,26,18065,Henry County
26,26,26,26,26,26,26,18067,Howard County
NA,NA,NA,NA,NA,NA,NA,18069,Huntington County
24.8,26,26,26,26,26,26,18071,Jackson County
26,NA,NA,26,26,24.8,24.8,18073,Jasper County
25.6,NA,NA,24.8,24.8,22.4,20.5,18075,Jay County
26,25.6,NA,NA,26,NA,NA,18077,Jefferson County
25.6,NA,NA,NA,NA,NA,NA,18079,Jennings County
26,26,26,26,26,26,26,18081,Johnson County
26,25.6,26,26,26,26,26,18083,Knox County
26,26,26,26,26,25.6,25.6,18085,Kosciusko County
26,26,26,26,26,26,26,18087,Lagrange County
24.8,24.8,25.6,25.6,25.6,25.6,25.6,18089,Lake County
24.8,24.8,24.8,24,24.8,24.8,25.6,18091,La Porte County
26,25.6,25.6,25.6,26,26,26,18093,Lawrence County
26,26,26,26,26,26,26,18095,Madison County
24,24.8,24.8,24.8,24.8,25.6,25.6,18097,Marion County
26,26,26,26,26,26,26,18099,Marshall County
NA,NA,NA,NA,NA,NA,NA,18101,Martin County
24.8,25.6,26,25.6,NA,NA,25.6,18103,Miami County
26,26,26,26,26,26,26,18105,Monroe County
25.6,26,26,25.6,25.6,26,26,18107,Montgomery County
26,25.6,26,26,26,26,26,18109,Morgan County
NA,NA,NA,NA,NA,NA,NA,18111,Newton County
26,25.6,26,26,26,26,26,18113,Noble County
NA,NA,NA,NA,NA,NA,NA,18115,Ohio County
NA,NA,NA,NA,NA,NA,NA,18117,Orange County
NA,NA,NA,NA,NA,NA,NA,18119,Owen County
NA,NA,NA,NA,NA,NA,NA,18121,Parke County
NA,NA,NA,NA,NA,NA,NA,18123,Perry County
NA,NA,NA,NA,NA,NA,NA,18125,Pike County
26,26,26,26,26,26,26,18127,Porter County
NA,NA,NA,NA,NA,NA,NA,18129,Posey County
NA,NA,NA,NA,NA,NA,NA,18131,Pulaski County
26,NA,26,NA,26,NA,NA,18133,Putnam County
NA,NA,NA,NA,NA,NA,NA,18135,Randolph County
26,NA,NA,NA,NA,NA,24.8,18137,Ripley County
NA,NA,NA,NA,NA,NA,NA,18139,Rush County
24.8,25.6,24.8,25.6,25.6,25.6,25.6,18141,St. Joseph County
NA,NA,NA,NA,NA,NA,24,18143,Scott County
26,24.8,25.6,26,26,26,25.6,18145,Shelby County
25.6,NA,NA,NA,NA,NA,NA,18147,Spencer County
26,NA,NA,NA,NA,NA,NA,18149,Starke County
NA,NA,NA,NA,NA,NA,NA,18151,Steuben County
24,NA,NA,NA,NA,NA,NA,18153,Sullivan County
NA,NA,NA,NA,NA,NA,NA,18155,Switzerland County
26,25.6,26,26,26,26,26,18157,Tippecanoe County
NA,NA,NA,NA,NA,NA,NA,18159,Tipton County
NA,NA,NA,NA,NA,NA,NA,18161,Union County
25.6,25.6,26,26,26,26,26,18163,Vanderburgh County
NA,NA,NA,NA,NA,NA,NA,18165,Vermillion County
26,26,26,26,26,26,26,18167,Vigo County
NA,25.6,NA,NA,NA,NA,NA,18169,Wabash County
NA,NA,NA,NA,NA,NA,NA,18171,Warren County
26,26,26,26,26,26,26,18173,Warrick County
26,NA,NA,NA,NA,NA,NA,18175,Washington County
26,25.6,25.6,26,26,26,25.6,18177,Wayne County
NA,NA,NA,NA,NA,NA,NA,18179,Wells County
25.6,NA,NA,NA,NA,NA,NA,18181,White County
NA,NA,NA,NA,NA,NA,26,18183,Whitley County
26,26,26,26,26,26,26,19000,Iowa
NA,NA,NA,NA,NA,NA,NA,19001,Adair County
NA,NA,NA,NA,NA,NA,NA,19003,Adams County
NA,NA,NA,NA,NA,NA,NA,19005,Allamakee County
NA,NA,NA,NA,NA,NA,NA,19007,Appanoose County
NA,NA,NA,NA,NA,NA,NA,19009,Audubon County
NA,NA,NA,NA,NA,NA,NA,19011,Benton County
26,26,26,26,26,26,26,19013,Black Hawk County
NA,NA,NA,NA,NA,NA,NA,19015,Boone County
NA,NA,NA,NA,NA,NA,NA,19017,Bremer County
NA,NA,NA,NA,NA,NA,NA,19019,Buchanan County
NA,NA,NA,NA,NA,NA,NA,19021,Buena Vista County
NA,NA,NA,NA,NA,NA,NA,19023,Butler County
NA,NA,NA,NA,NA,NA,NA,19025,Calhoun County
NA,NA,NA,NA,NA,NA,NA,19027,Carroll County
NA,NA,NA,NA,NA,NA,NA,19029,Cass County
NA,NA,NA,NA,NA,NA,NA,19031,Cedar County
26,26,26,NA,NA,NA,NA,19033,Cerro Gordo County
NA,NA,NA,NA,NA,NA,NA,19035,Cherokee County
NA,NA,NA,NA,NA,NA,NA,19037,Chickasaw County
NA,NA,NA,NA,NA,NA,NA,19039,Clarke County
NA,NA,NA,NA,NA,NA,NA,19041,Clay County
NA,NA,NA,NA,NA,NA,NA,19043,Clayton County
24.8,24.8,24.8,26,26,26,NA,19045,Clinton County
NA,NA,NA,NA,NA,NA,NA,19047,Crawford County
26,26,26,26,26,26,26,19049,Dallas County
NA,NA,NA,NA,NA,NA,NA,19051,Davis County
NA,NA,NA,NA,NA,NA,NA,19053,Decatur County
NA,NA,NA,NA,NA,NA,NA,19055,Delaware County
26,26,26,26,26,26,26,19057,Des Moines County
NA,NA,NA,NA,NA,NA,NA,19059,Dickinson County
26,26,26,26,26,26,26,19061,Dubuque County
NA,NA,NA,NA,NA,NA,NA,19063,Emmet County
NA,NA,NA,NA,NA,NA,NA,19065,Fayette County
NA,NA,NA,NA,NA,NA,NA,19067,Floyd County
NA,NA,NA,NA,NA,NA,NA,19069,Franklin County
NA,NA,NA,NA,NA,NA,NA,19071,Fremont County
NA,NA,NA,NA,NA,NA,NA,19073,Greene County
NA,NA,NA,NA,NA,NA,NA,19075,Grundy County
NA,NA,NA,NA,NA,NA,NA,19077,Guthrie County
NA,NA,NA,NA,NA,NA,NA,19079,Hamilton County
NA,NA,NA,NA,NA,NA,NA,19081,Hancock County
NA,NA,NA,NA,NA,NA,NA,19083,Hardin County
NA,NA,NA,NA,NA,NA,NA,19085,Harrison County
NA,NA,NA,NA,NA,NA,NA,19087,Henry County
NA,NA,NA,NA,NA,NA,NA,19089,Howard County
NA,NA,NA,NA,NA,NA,NA,19091,Humboldt County
NA,NA,NA,NA,NA,NA,NA,19093,Ida County
NA,NA,NA,NA,NA,NA,NA,19095,Iowa County
NA,NA,NA,NA,NA,NA,NA,19097,Jackson County
26,NA,NA,NA,NA,NA,NA,19099,Jasper County
NA,NA,NA,NA,NA,NA,NA,19101,Jefferson County
26,26,26,26,26,26,26,19103,Johnson County
NA,NA,NA,NA,NA,NA,NA,19105,Jones County
NA,NA,NA,NA,NA,NA,NA,19107,Keokuk County
NA,NA,NA,NA,NA,NA,NA,19109,Kossuth County
NA,NA,NA,NA,NA,NA,NA,19111,Lee County
26,26,26,26,26,26,26,19113,Linn County
NA,NA,NA,NA,NA,NA,NA,19115,Louisa County
NA,NA,NA,NA,NA,NA,NA,19117,Lucas County
NA,NA,NA,NA,NA,NA,NA,19119,Lyon County
NA,NA,NA,NA,NA,NA,NA,19121,Madison County
NA,NA,NA,NA,NA,NA,NA,19123,Mahaska County
26,NA,NA,NA,NA,NA,NA,19125,Marion County
NA,NA,NA,NA,NA,NA,NA,19127,Marshall County
NA,NA,NA,NA,NA,NA,NA,19129,Mills County
NA,NA,NA,NA,NA,NA,NA,19131,Mitchell County
NA,NA,NA,NA,NA,NA,NA,19133,Monona County
NA,NA,NA,NA,NA,NA,NA,19135,Monroe County
NA,NA,NA,NA,NA,NA,NA,19137,Montgomery County
NA,NA,NA,NA,NA,NA,NA,19139,Muscatine County
NA,NA,NA,NA,NA,NA,NA,19141,O'Brien County
NA,NA,NA,NA,NA,NA,NA,19143,Osceola County
NA,NA,NA,NA,NA,NA,NA,19145,Page County
NA,NA,NA,NA,NA,NA,NA,19147,Palo Alto County
NA,NA,NA,NA,NA,NA,NA,19149,Plymouth County
NA,NA,NA,NA,NA,NA,NA,19151,Pocahontas County
26,26,26,26,26,26,26,19153,Polk County
26,26,26,26,26,26,26,19155,Pottawattamie County
NA,NA,NA,NA,NA,NA,NA,19157,Poweshiek County
NA,NA,NA,NA,NA,NA,NA,19159,Ringgold County
NA,NA,NA,NA,NA,NA,NA,19161,Sac County
26,26,26,26,26,26,26,19163,Scott County
NA,NA,NA,NA,NA,NA,NA,19165,Shelby County
26,26,26,26,25.6,26,26,19167,Sioux County
26,26,26,26,26,26,26,19169,Story County
NA,NA,NA,NA,NA,NA,NA,19171,Tama County
NA,NA,NA,NA,NA,NA,NA,19173,Taylor County
NA,NA,NA,NA,NA,NA,NA,19175,Union County
NA,NA,NA,NA,NA,NA,NA,19177,Van Buren County
26,NA,NA,NA,NA,26,26,19179,Wapello County
26,NA,26,NA,NA,NA,NA,19181,Warren County
NA,NA,NA,NA,NA,NA,NA,19183,Washington County
NA,NA,NA,NA,NA,NA,NA,19185,Wayne County
NA,26,NA,NA,NA,NA,NA,19187,Webster County
NA,NA,NA,NA,NA,NA,NA,19189,Winnebago County
NA,NA,NA,NA,NA,NA,NA,19191,Winneshiek County
26,26,26,26,26,26,26,19193,Woodbury County
NA,NA,NA,NA,NA,NA,NA,19195,Worth County
NA,NA,NA,NA,NA,NA,NA,19197,Wright County
26,26,26,26,26,26,26,20000,Kansas
NA,NA,NA,NA,NA,NA,NA,20001,Allen County
NA,NA,NA,NA,NA,NA,NA,20003,Anderson County
NA,NA,NA,NA,NA,NA,NA,20005,Atchison County
NA,NA,NA,NA,NA,NA,NA,20007,Barber County
26,22.4,24.8,25.6,NA,NA,NA,20009,Barton County
NA,NA,NA,NA,NA,NA,NA,20011,Bourbon County
NA,NA,NA,NA,NA,NA,NA,20013,Brown County
26,26,26,26,26,26,26,20015,Butler County
NA,NA,NA,NA,NA,NA,NA,20017,Chase County
NA,NA,NA,NA,NA,NA,NA,20019,Chautauqua County
26,NA,NA,NA,NA,NA,NA,20021,Cherokee County
NA,NA,NA,NA,NA,NA,NA,20023,Cheyenne County
NA,NA,NA,NA,NA,NA,NA,20025,Clark County
NA,NA,NA,NA,NA,NA,NA,20027,Clay County
NA,NA,NA,NA,NA,NA,NA,20029,Cloud County
NA,NA,NA,NA,NA,NA,NA,20031,Coffey County
NA,NA,NA,NA,NA,NA,NA,20033,Comanche County
24,25.6,24.8,24.8,24.8,NA,NA,20035,Cowley County
26,25.6,25.6,26,26,NA,NA,20037,Crawford County
NA,NA,NA,NA,NA,NA,NA,20039,Decatur County
NA,NA,NA,NA,NA,NA,NA,20041,Dickinson County
NA,NA,NA,NA,NA,NA,NA,20043,Doniphan County
26,26,26,26,26,26,26,20045,Douglas County
NA,NA,NA,NA,NA,NA,NA,20047,Edwards County
NA,NA,NA,NA,NA,NA,NA,20049,Elk County
NA,NA,NA,NA,NA,NA,NA,20051,Ellis County
NA,NA,NA,NA,NA,NA,NA,20053,Ellsworth County
26,26,26,26,26,26,26,20055,Finney County
26,26,26,25.6,25.6,25.6,26,20057,Ford County
26,26,NA,NA,NA,NA,NA,20059,Franklin County
23.2,25.6,25.6,26,26,26,26,20061,Geary County
NA,NA,NA,NA,NA,NA,NA,20063,Gove County
NA,NA,NA,NA,NA,NA,NA,20065,Graham County
NA,NA,NA,NA,NA,NA,NA,20067,Grant County
NA,NA,NA,NA,NA,NA,NA,20069,Gray County
NA,NA,NA,NA,NA,NA,NA,20071,Greeley County
NA,NA,NA,NA,NA,NA,NA,20073,Greenwood County
NA,NA,NA,NA,NA,NA,NA,20075,Hamilton County
NA,NA,NA,NA,NA,NA,NA,20077,Harper County
26,NA,NA,NA,NA,26,26,20079,Harvey County
NA,NA,NA,NA,NA,NA,NA,20081,Haskell County
NA,NA,NA,NA,NA,NA,NA,20083,Hodgeman County
NA,NA,NA,NA,NA,NA,NA,20085,Jackson County
NA,NA,NA,NA,NA,NA,NA,20087,Jefferson County
NA,NA,NA,NA,NA,NA,NA,20089,Jewell County
26,26,26,26,26,26,26,20091,Johnson County
NA,NA,NA,NA,NA,NA,NA,20093,Kearny County
NA,NA,NA,NA,NA,NA,NA,20095,Kingman County
NA,NA,NA,NA,NA,NA,NA,20097,Kiowa County
26,NA,NA,NA,NA,NA,NA,20099,Labette County
NA,NA,NA,NA,NA,NA,NA,20101,Lane County
26,26,26,26,26,26,26,20103,Leavenworth County
NA,NA,NA,NA,NA,NA,NA,20105,Lincoln County
NA,NA,NA,NA,NA,NA,NA,20107,Linn County
NA,NA,NA,NA,NA,NA,NA,20109,Logan County
26,NA,26,26,25.6,26,26,20111,Lyon County
25.6,NA,25.6,25.6,NA,NA,NA,20113,McPherson County
14.2,NA,NA,NA,NA,NA,NA,20115,Marion County
NA,NA,NA,NA,NA,NA,NA,20117,Marshall County
NA,NA,NA,NA,NA,NA,NA,20119,Meade County
26,NA,NA,NA,NA,NA,NA,20121,Miami County
NA,NA,NA,NA,NA,NA,NA,20123,Mitchell County
